index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,TRANSFER,run_index
290,local,96,1,256,128,2,400,0.00825,213.64,161884.16,1
291,local,96,1,256,128,2,400,0.00139,213.72,161884.16,2
292,local,97,10,256,128,2,400,0.0052,213.64,161873.92,0
293,local,97,10,256,128,2,400,0.00889,213.28,161884.16,1
294,local,97,10,256,128,2,400,0.02354,213.35,161884.16,2
295,local,98,100,256,128,2,400,0.01287,211.46,161873.92,0
296,local,98,100,256,128,2,400,0.01359,211.69,161863.68,1
297,local,98,100,256,128,2,400,0.01493,211.63,161873.92,2
298,local,99,1,32,256,2,400,0.00726,213.87,64450.56,0
299,local,99,1,32,256,2,400,0.02186,213.28,65546.24,1
300,local,99,1,32,256,2,400,0.0081,212.84,65546.24,2
301,local,100,10,32,256,2,400,0.00861,213.42,65546.24,0
302,local,100,10,32,256,2,400,0.00886,213.22,65546.24,1
303,local,100,10,32,256,2,400,0.009130000000000001,212.79,65546.24,2
304,local,101,100,32,256,2,400,0.00733,212.21,64460.8,0
305,local,101,100,32,256,2,400,0.0074199999999999995,213.5,65546.24,1
306,local,101,100,32,256,2,400,0.01097,212.76,65546.24,2
307,local,102,1,128,256,2,400,0.00567,213.11,99532.8,0
308,local,102,1,128,256,2,400,0.00642,213.2,99522.56,1
309,local,102,1,128,256,2,400,0.01238,212.66,99522.56,2
310,local,103,10,128,256,2,400,0.0099,212.88,99522.56,0
311,local,103,10,128,256,2,400,0.0076500000000000005,213.04,99522.56,1
312,local,103,10,128,256,2,400,0.0075,212.6,99522.56,2
313,local,104,100,128,256,2,400,0.013710000000000002,212.26,99522.56,0
314,local,104,100,128,256,2,400,0.01506,212.33,99522.56,1
315,local,104,100,128,256,2,400,0.0158,212.05,99522.56,2
316,local,105,1,256,256,2,400,0.00842,213.17,161884.16,0
317,local,105,1,256,256,2,400,0.01528,213.1,161873.92,1
318,local,105,1,256,256,2,400,0.00835,212.55,161884.16,2
319,local,106,10,256,256,2,400,0.00845,212.87,161884.16,0
