index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,run_index
272,local,90,1,32,64,4,100,0.000627,26.12,2
273,local,91,10,32,64,4,100,0.00122,26.37,0
274,local,91,10,32,64,4,100,0.0020099999999999996,26.22,1
275,local,91,10,32,64,4,100,0.00102,25.89,2
276,local,92,100,32,64,4,100,0.00272,26.05,0
277,local,92,100,32,64,4,100,0.0009599999999999999,25.66,1
278,local,92,100,32,64,4,100,0.0019399999999999999,26.23,2
279,local,93,1,64,64,4,100,0.00139,26.22,0
280,local,93,1,64,64,4,100,0.0009,26.2,1
281,local,93,1,64,64,4,100,0.00101,25.86,2
282,local,94,10,64,64,4,100,0.00139,25.99,0
283,local,94,10,64,64,4,100,0.00152,26.2,1
284,local,94,10,64,64,4,100,0.0013700000000000001,26.38,2
285,local,95,100,64,64,4,100,0.00348,26.15,0
286,local,95,100,64,64,4,100,0.00534,26.28,1
287,local,95,100,64,64,4,100,0.00481,26.15,2
288,local,96,1,8,8,6,100,0.0011200000000000001,16.56,0
289,local,96,1,8,8,6,100,0.0010400000000000001,16.5,1
290,local,96,1,8,8,6,100,0.00113,16.76,2
291,local,97,10,8,8,6,100,0.00114,16.8,0
292,local,97,10,8,8,6,100,0.00127,16.62,1
293,local,97,10,8,8,6,100,0.00102,16.45,2
294,local,98,100,8,8,6,100,0.001,16.65,0
295,local,98,100,8,8,6,100,0.00111,16.56,1
296,local,98,100,8,8,6,100,0.000465,16.39,2
297,local,99,1,16,8,6,100,0.0010400000000000001,16.6,0
298,local,99,1,16,8,6,100,0.0010500000000000002,16.83,1
299,local,99,1,16,8,6,100,0.00094,16.49,2
300,local,100,10,16,8,6,100,0.0009699999999999999,16.51,0
301,local,100,10,16,8,6,100,0.0010400000000000001,16.49,1
302,local,100,10,16,8,6,100,0.00092,16.71,2
303,local,101,100,16,8,6,100,0.00111,16.44,0
304,local,101,100,16,8,6,100,0.000792,16.47,1
305,local,101,100,16,8,6,100,0.000769,16.5,2
306,local,102,1,32,8,6,100,0.0011799999999999998,16.68,0
307,local,102,1,32,8,6,100,0.00121,16.61,1
308,local,102,1,32,8,6,100,0.00101,16.33,2
309,local,103,10,32,8,6,100,0.00134,16.55,0
310,local,103,10,32,8,6,100,0.000759,16.5,1
311,local,103,10,32,8,6,100,0.000391,16.47,2
312,local,104,100,32,8,6,100,0.00053,16.46,0
313,local,104,100,32,8,6,100,0.01044,16.49,1
314,local,104,100,32,8,6,100,0.000369,16.59,2
315,local,105,1,64,8,6,100,0.000536,16.47,0
316,local,105,1,64,8,6,100,0.000201,16.36,1
317,local,105,1,64,8,6,100,0.000391,16.38,2
318,local,106,10,64,8,6,100,0.00116,16.28,0
319,local,106,10,64,8,6,100,0.000499,16.38,1
320,local,106,10,64,8,6,100,0.000686,16.36,2
321,local,107,100,64,8,6,100,0.00127,16.43,0
322,local,107,100,64,8,6,100,0.00123,16.56,1
323,local,107,100,64,8,6,100,0.00087,16.51,2
324,local,108,1,8,16,6,100,0.000572,16.45,0
325,local,108,1,8,16,6,100,0.000597,16.43,1
326,local,108,1,8,16,6,100,0.00058,16.36,2
327,local,109,10,8,16,6,100,0.000238,16.39,0
328,local,109,10,8,16,6,100,0.00099,16.45,1
329,local,109,10,8,16,6,100,0.000229,16.35,2
330,local,110,100,8,16,6,100,0.000281,16.47,0
331,local,110,100,8,16,6,100,0.000461,16.44,1
332,local,110,100,8,16,6,100,0.00092,16.36,2
333,local,111,1,16,16,6,100,0.000451,16.46,0
334,local,111,1,16,16,6,100,0.000241,16.32,1
335,local,111,1,16,16,6,100,0.000594,16.51,2
336,local,112,10,16,16,6,100,0.000469,16.46,0
337,local,112,10,16,16,6,100,0.000429,16.43,1
338,local,112,10,16,16,6,100,0.000333,16.39,2
339,local,113,100,16,16,6,100,0.000389,16.41,0
340,local,113,100,16,16,6,100,0.000416,16.56,1
341,local,113,100,16,16,6,100,0.000589,16.44,2
342,local,114,1,32,16,6,100,0.00095,16.56,0
343,local,114,1,32,16,6,100,0.000611,16.57,1
344,local,114,1,32,16,6,100,0.000639,16.42,2
345,local,115,10,32,16,6,100,0.00125,16.39,0
346,local,115,10,32,16,6,100,0.000447,16.35,1
347,local,115,10,32,16,6,100,0.000579,16.36,2
348,local,116,100,32,16,6,100,0.00091,16.52,0
349,local,116,100,32,16,6,100,0.00095,16.69,1
350,local,116,100,32,16,6,100,0.000705,16.45,2
351,local,117,1,64,16,6,100,0.000517,16.46,0
352,local,117,1,64,16,6,100,0.000682,16.39,1
353,local,117,1,64,16,6,100,0.000531,16.54,2
354,local,118,10,64,16,6,100,0.00111,16.64,0
355,local,118,10,64,16,6,100,0.000672,16.67,1
356,local,118,10,64,16,6,100,0.000495,16.39,2
357,local,119,100,64,16,6,100,0.00156,16.63,0
358,local,119,100,64,16,6,100,0.000788,16.58,1
359,local,119,100,64,16,6,100,0.0020800000000000003,16.63,2
360,local,120,1,8,32,6,100,0.000656,16.51,0
361,local,120,1,8,32,6,100,0.000579,16.48,1
362,local,120,1,8,32,6,100,0.00103,16.43,2
363,local,121,10,8,32,6,100,0.000425,16.33,0
364,local,121,10,8,32,6,100,0.000491,16.58,1
365,local,121,10,8,32,6,100,0.000646,16.52,2
366,local,122,100,8,32,6,100,0.000214,16.39,0
367,local,122,100,8,32,6,100,0.000346,16.44,1
368,local,122,100,8,32,6,100,0.000498,16.5,2
369,local,123,1,16,32,6,100,0.000829,16.41,0
370,local,123,1,16,32,6,100,0.000706,16.55,1
371,local,123,1,16,32,6,100,0.00052,16.54,2
372,local,124,10,16,32,6,100,0.000588,16.41,0
373,local,124,10,16,32,6,100,0.00059,16.49,1
374,local,124,10,16,32,6,100,0.000706,16.41,2
375,local,125,100,16,32,6,100,0.000254,16.41,0
376,local,125,100,16,32,6,100,0.000459,16.41,1
377,local,125,100,16,32,6,100,0.000626,16.57,2
378,local,126,1,32,32,6,100,0.000197,16.35,0
379,local,126,1,32,32,6,100,0.000229,16.4,1
380,local,126,1,32,32,6,100,0.000522,16.44,2
381,local,127,10,32,32,6,100,0.000547,16.57,0
